id1	id2	length	identity	similarity	gaps	score
ABCB1_Domain1	CDH17_Domain1	32	25	46.9	18.8	27.5
ABCB1_Domain1	CDH17_Domain2	10	40	80	NA	26
ABCB1_Domain1	CDH17_Domain3	10	40	70	NA	26
ABCB1_Domain1	CDH17_Domain4	30	30	40	23.3	32
ABCB1_Domain1	CDH17_Domain5	30	26.7	56.7	NA	28
ABCB1_Domain1	CDH17_Domain6	92	21.7	42.4	33.7	40
ABCB1_Domain1	CDH17_Domain7	50	26	28	54	25.5
ABCB1_Domain2	CDH17_Domain1	67	29.9	43.3	28.4	33.5
ABCB1_Domain2	CDH17_Domain2	70	18.6	38.6	15.7	30.5
ABCB1_Domain2	CDH17_Domain3	51	27.5	39.2	29.4	31.5
ABCB1_Domain2	CDH17_Domain4	102	21.6	38.2	23.5	30.5
ABCB1_Domain2	CDH17_Domain5	48	31.2	47.9	16.7	41.5
ABCB1_Domain2	CDH17_Domain6	56	23.2	37.5	26.8	30
ABCB1_Domain2	CDH17_Domain7	74	21.6	39.2	33.8	38
ABCB1_Domain3	CDH17_Domain1	32	21.9	43.8	34.4	26
ABCB1_Domain3	CDH17_Domain2	104	22.1	40.4	18.3	54.5
ABCB1_Domain3	CDH17_Domain3	8	50	87.5	NA	20
ABCB1_Domain3	CDH17_Domain4	19	42.1	42.1	NA	27
ABCB1_Domain3	CDH17_Domain5	42	33.3	45.2	23.8	36.5
ABCB1_Domain3	CDH17_Domain6	90	20	36.7	42.2	33
ABCB1_Domain3	CDH17_Domain7	71	26.8	43.7	16.9	39
ABCB1_Domain4	CDH17_Domain1	87	18.4	40.2	29.9	26
ABCB1_Domain4	CDH17_Domain2	88	19.3	38.6	13.6	27.5
ABCB1_Domain4	CDH17_Domain3	103	23.3	37.9	25.2	34
ABCB1_Domain4	CDH17_Domain4	50	26	44	12	26.5
ABCB1_Domain4	CDH17_Domain5	94	23.4	41.5	16	34
ABCB1_Domain4	CDH17_Domain6	104	18.3	35.6	37.5	34
ABCB1_Domain4	CDH17_Domain7	20	45	55	10	29
ABCB5_Domain1	CDH17_Domain1	17	47.1	64.7	NA	25
ABCB5_Domain1	CDH17_Domain2	21	38.1	52.4	NA	25
ABCB5_Domain1	CDH17_Domain3	24	33.3	45.8	NA	29
ABCB5_Domain1	CDH17_Domain4	63	27	36.5	30.2	33
ABCB5_Domain1	CDH17_Domain5	40	25	47.5	NA	31
